[2025-09-06 04:54:54 UTC] Starting Spark Job with 1 partition(s).
[2025-09-06 04:55:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:00:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:05:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:10:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:15:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:20:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:25:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:30:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:35:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:40:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:45:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:50:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 05:55:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:00:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:05:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:10:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:15:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:20:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:25:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:30:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:35:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:40:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:45:00 UTC] Spark created 3 task(s): 2 ACTIVE, 1 COMPLETED, 0 FAILED tasks
[2025-09-06 06:45:55 UTC] Spark created 5 task(s): 0 ACTIVE, 5 COMPLETED, 0 FAILED tasks
[2025-09-06 06:45:55 UTC] Processed all records
[2025-09-06 06:45:59 UTC] Execution completed - 3,815 records ran successfully and 0 records had errors
